laureate_id,name,category,year,work_location,notes
literature_2015_924,Svetlana Alexievich,literature,2015,"Minsk, Belarus","she was forced to live in exile periodically (including in Italy, France, Germany, and Sweden)"
literature_2016_937,Bob Dylan,literature,2016,"New York, NY, USA","and Woodstock, NY"
literature_2017_947,Kazuo Ishiguro,literature,2017,"London, England",
literature_2018_979,Olga Tokarczuk,literature,2018,"Wroc_aw, Poland","Wroc_aw, Poland, and other locations in her home region of Silesia"
literature_2019_980,Peter Handke,literature,2019,"Graz, Austria","Düsseldorf, Berlin, Kronberg, Paris, the U.S., and Salzburg, Chaville, a suburb southwest of Paris, France"
literature_2020_993,Louise Glück,literature,2020,"Cambridge, Massachusetts, USA","Yale University in New Haven, Connecticut, and previously at Goddard College in Plainfield, Vermont. "
literature_2021_1004,Abdulrazak Gurnah,literature,2021,"Canterbury, England",
literature_2022_1017,Annie Ernaux,literature,2022,"Paris, France","Cergy-Pontoise, in Paris, France"
literature_2023_1032,Jon Fosse,literature,2023,"Hainburg an der Donau, Austria",and south of France at Paul Claudel's castle
literature_2024_1042,Kang Han,literature,2024,"Seoul, South Korea","childhood home city of Gwangju, South Korea, shortly before her family moved to Seoul, International Writing Program at the University of Iowa in 1998"
literature_2025_1056,László Krasznahorkai,literature,2025,"Budapest, Hungary","born in Gyula and remote villages; then Berlin, New York, China, and Japan. "
peace_1901_462,Henry Dunant,peace,1901,"Geneva, Switzerland",witnessed the horrific aftermath of the Battle of Solferino in northern Italy in 1859 
peace_1901_463,Frédéric Passy,peace,1901,"Paris, France",
peace_1902_464,Élie Ducommun,peace,1902,"Bern, Switzerland",IPB headquarters was located at the time
peace_1902_465,Albert Gobat,peace,1902,"Bern, Switzerland",IPB headquarters was located at the time
peace_1903_466,Randal Cremer,peace,1903,"London, England",
peace_1904_467,Institute of International Law,peace,1904,"Ghent, Belgium",
peace_1905_468,Bertha von Suttner,peace,1905,"Harmannsdorf, Austria","Schloss Harmannsdorf (Harmannsdorf Castle) in Lower Austria, where she lived after returning from the Caucasus in 1885"
peace_1906_470,Theodore Roosevelt,peace,1906,"Oyster Bay, New York","Sagamore Hill, in Oyster Bay, New York, his summer home during the Russo-Japanese war"
peace_1907_471,Ernesto Teodoro Moneta,peace,1907,"Milan, Italy",
peace_1908_473,Klas Pontus Arnoldson,peace,1908,"Stockholm, Sweden",
peace_1908_474,Fredrik Bajer,peace,1908,"Copenhagen, Denmark",
peace_1909_475,Auguste Beernaert,peace,1909,"The Hague, Netherlands",
peace_1909_476,Paul Henri d'Estournelles de Constant,peace,1909,"Paris, France","hometown: La Flèche, France"
peace_1910_477,Permanent International Peace Bureau,peace,1910,"Bern, Switzerland",
peace_1911_478,Tobias Asser,peace,1911,"The Hague, Netherlands",
peace_1911_479,Alfred Fried,peace,1911,"Berlin, Germany",
peace_1912_480,Elihu Root,peace,1912,"Washington, D.C., USA",
peace_1913_481,Henri La Fontaine,peace,1913,"Bern, Switzerland","International Peace Bureau in Bern, Switzerland"
peace_1917_482,International Committee of the Red Cross,peace,1917,"Geneva, Switzerland",
peace_1944_482,International Committee of the Red Cross,peace,1944,"Geneva, Switzerland",
peace_1963_482,International Committee of the Red Cross,peace,1963,"Geneva, Switzerland",
peace_1919_483,Woodrow Wilson,peace,1919,"Washington, D.C., USA",
peace_1920_484,Léon Bourgeois,peace,1920,"Paris, France",
peace_1921_485,Hjalmar Branting,peace,1921,"Stockholm, Sweden",
peace_1921_486,Christian Lange,peace,1921,"Oslo, Norway",
peace_1922_487,Fridtjof Nansen,peace,1922,"Lysaker, Norway","Polhøgda, a house he built in Lysaker, Norway, creating the ""Nansen passport"" for stateless refugees"
peace_1925_488,Sir Austen Chamberlain,peace,1925," Mayfield, East Sussex, UK","Twytt's Ghyll in Mayfield, East Sussex"
peace_1925_489,Charles G. Dawes,peace,1925,"Washington, D.C., USA",
peace_1926_490,Aristide Briand,peace,1926,"Paris, France",
peace_1926_491,Gustav Stresemann,peace,1926,"Berlin, Germany",
peace_1927_492,Ferdinand Buisson,peace,1927,"Paris, France",Sorbonne
peace_1927_493,Ludwig Quidde,peace,1927,"Berlin, Germany",
peace_1929_494,Frank B. Kellogg,peace,1929,"Saint Paul, Minnesota, USA",
peace_1930_495,Nathan Söderblom,peace,1930,"Uppsala, Sweden",
peace_1931_496,Jane Addams,peace,1931,"Chicago, Illinois","Chicago, Illinois, at Hull House"
peace_1933_498,Sir Norman Angell,peace,1933,"Essex, UK","Northey Island in Essex, UK"
peace_1934_499,Arthur Henderson,peace,1934,"Geneva, Switzerland",
peace_1935_500,Carl von Ossietzky,peace,1935,"Berlin, Germany","Hamberg, then Esterwegen concentration camp near Oldenburg in 1933"
peace_1936_501,Carlos Saavedra Lamas,peace,1936,"Buenos Aires, Argentina",
peace_1937_502,Robert Cecil,peace,1937,"Hatfield, Hertfordshire, England",
peace_1938_503,Nansen International Office for Refugees,peace,1938,"Geneva, Switzerland",
peace_1945_505,Cordell Hull,peace,1945,"Washington, D.C., USA",
peace_1946_506,Emily Greene Balch,peace,1946,"Geneva, Switzerland",
peace_1946_507,John R. Mott,peace,1946,"Postville, Iowa",
peace_1947_508,Friends Service Council,peace,1947,"London, England",
peace_1947_509,American Friends Service Committee,peace,1947,"Philadelphia, PA, USA",
peace_1949_510,John Boyd Orr,peace,1949,"Aberdeen, Scotland","Aberdeen, West Kilbride, and Edzell"
peace_1951_512,Léon Jouhaux,peace,1951,"Paris, France",
peace_1952_513,Albert Schweitzer,peace,1952,"Lambaréné, Gabon",
peace_1953_514,George C. Marshall,peace,1953,"Leesburg, Virginia","Leesburg, Virginia, at his home, Dodona Manor, and Washington, D. C. "
peace_1954_515,Office of the United Nations High Commissioner for Refugees,peace,1954,"Geneva, Switzerland",
peace_1981_515,Office of the United Nations High Commissioner for Refugees,peace,1981,"Geneva, Switzerland",
peace_1957_516,Lester Bowles Pearson,peace,1957,"Ottawa, Canada",
peace_1958_517,Georges Pire,peace,1958,"Huy, Belgium","Huy, Belgium, at the Dominican priory of La Sarte"
peace_1959_518,Philip Noel-Baker,peace,1959,"London, England",
peace_1960_519,Albert Lutuli,peace,1960,"Groutville, South Africa","Groutville, Natal, in South Africa, where he was the chief of the local Zulu community"
peace_1961_520,Dag Hammarskjöld,peace,1961,"New York, NY, USA","personal retreat in Österlen, Sweden, at a farmstead he purchased named Backåkra, which he intended to use for quiet contemplation after his career"
peace_1963_523,League of Red Cross Societies,peace,1963,"Geneva, Switzerland","founded in Paris, France"
peace_1964_524,Martin Luther King Jr.,peace,1964,"Atlanta, Georgia",
peace_1965_525,United Nations Children's Fund,peace,1965,"New York, NY, USA",
peace_1968_526,René Cassin,peace,1968,"New York, NY, USA",united nations
peace_1969_527,International Labour Organization,peace,1969,"Geneva, Switzerland","Rockefeller Foundation in Mexico, starting in 1944, to improve wheat production in the country, research stations near Mexico City and in the Yaqui Valley in the northwest"
peace_1970_528,Norman Borlaug,peace,1970,"Mexico City, Mexico",
peace_1971_529,Willy Brandt,peace,1971,"Berlin, Germany",
peace_1973_530,Henry Kissinger,peace,1973,"Paris, France","The 1973 Paris Peace Accords, which ended the Vietnam War, took place at the Hotel Majestic in Paris, France"
peace_1973_531,Le Duc Tho,peace,1973,"Paris, France","The 1973 Paris Peace Accords, which ended the Vietnam War, took place at the Hotel Majestic in Paris, France"
peace_1974_532,Seán MacBride,peace,1974,"Dublin, Ireland","He primarily resided at Roebuck House in Dublin, which had been his mother Maud Gonne's home and served as a base for his activities, but Geneva and NYC"
peace_1974_533,Eisaku Sat_,peace,1974,"Tokyo, Japan",
peace_1975_534,Andrei Sakharov,peace,1975,"Moscow, Russia","Moscow, Soviet Union (now Russia) when he was awarded the 1975 Nobel Peace Prize. However, he was subsequently sent into internal exile in the city of Gorky (now Nizhny Novgorod) in 1980, and was not allowed to return to Moscow until 1986"
peace_1976_535,Betty Williams,peace,1976,"Belfast, Northern Ireland",
peace_1976_536,Mairead Corrigan,peace,1976,"Belfast, Northern Ireland",
peace_1977_537,Amnesty International,peace,1977,"London, United Kingdom",
peace_1978_538,Anwar al-Sadat,peace,1978,"Cairo, Egypt",
peace_1978_539,Menachem Begin,peace,1978,"Jerusalem, Israel",official Prime Minister's residence in Jerusalem (Beit Aghion)
peace_1979_540,Anjezë Gonxhe Bojaxhiu,peace,1979,"Calcutta, India",Mother Theresa
peace_1980_541,Adolfo Pérez Esquivel,peace,1980,"Buenos Aires, Argentina",
peace_1982_543,Alva Myrdal,peace,1982,"Bromma, Sweden","home they designed in Äppelviken, near Bromma"
peace_1982_544,Alfonso García Robles,peace,1982,"Geneva, Switzerland","Mexico, UN"
peace_1983_545,Lech Wa__sa,peace,1983,"Gda_sk, Poland",
peace_1984_546,Desmond Tutu,peace,1984,"Soweto, South Africa",Soweto on Vilakazi Street
peace_1985_547,International Physicians for the Prevention of Nuclear War,peace,1985,"Boston, Massachusetts, USA",
peace_1986_548,Elie Wiesel,peace,1986,"New York, NY, USA",distinguished professor of Judaic Studies at The City College of New York
peace_1987_549,Oscar Arias Sánchez,peace,1987,"San José, Costa Rica",
peace_1988_550,United Nations Peacekeeping Forces,peace,1988,"New York, NY, USA",
peace_1989_551,Lhamo Thondup,peace,1989,"Dharamshala, India","Dharamshala, Himachal Pradesh, in northern India from Chinese occupation of Tibet, 14th Dalai Lama (Tenzin Gyatso)"
peace_1990_552,Mikhail Gorbachev,peace,1990,"Moscow, Russia","Moscow where he served as the leader of the Communist Party and President, and in his earlier career in Stavropol, where he held key positions in the Party"
peace_1991_553,Aung San Suu Kyi,peace,1991,"Rangoon, Myanmar",Yangon
peace_1992_554,Rigoberta Menchú Tum,peace,1992,"Chimel, Guatemala","Quiché, Guatemala, particularly in her home village of Chimel"
peace_1993_555,Nelson Mandela,peace,1993,"Soweto, South Africa","Gauteng, primarily in Soweto and Johannesburg"
peace_1993_556,F.W. de Klerk,peace,1993,"Cape Town, South Africa",
peace_1994_557,Yasser Arafat,peace,1994,"Tunis, Tunisia","headquarters during peace negotiations, Oslo Accords"
peace_1994_558,Shimon Peres,peace,1994,"Tel Aviv, Israel","Tel Aviv, Israel, at 12 Oppenheimer Street, during Oslo Accords"
peace_1994_559,Yitzhak Rabin,peace,1994,"Tel Aviv, Israel",prime minister during Oslo Accords
peace_1995_560,Joseph Rotblat,peace,1995,"London, England",worked with James Chadwick
peace_1995_561,Pugwash Conferences on Science and World Affairs,peace,1995,"Pugwash, Nova Scotia, Canada","first conference: Took place in July 1957 at the estate of American industrialist Cyrus Eaton, who hosted and funded the meeting in his hometown"
peace_1996_562,Carlos Filipe Ximenes Belo,peace,1996,"Dili, East Timor",
peace_1996_563,José Ramos-Horta,peace,1996,"Sydney, Australia","exile in Sydney, Australia, Mozambique, Sydney, and Lisbon"
peace_1997_564,International Campaign to Ban Landmines,peace,1997,"Geneva, Switzerland",
peace_1997_565,Jody Williams,peace,1997,"Putney, Vermont",work on International Campaign to Ban Landmines
peace_1998_566,John Hume,peace,1998,"Londonderry, Northern Ireland",
peace_1998_567,David Trimble,peace,1998,"Belfast, Northern Ireland",
peace_1999_568,Doctors Without Borders,peace,1999,"Geneva, Switzerland",
peace_2000_725,Kim Dae-jung,peace,2000,"Seoul, South Korea","He was also forced into exile, including a period in Boston, where he taught at Harvard University, was from the port city of Mokpo, presidentially at Blue House (Cheong Wa Dae), Jongno District of Seoul"
peace_2001_748,United Nations,peace,2001,"New York, NY, USA",
peace_2001_749,Kofi Annan,peace,2001,"New York, NY, USA",
peace_2002_762,Jimmy Carter,peace,2002,"Atlanta, Georgia","Plains, Georgia, and Atlanta, Georgia"
peace_2003_773,Shirin Ebadi,peace,2003,"Tehran, Iran","exile in London, United Kingdom"
peace_2004_783,Wangari Maathai,peace,2004,"Nairobi, Kenya",
peace_2005_797,International Atomic Energy Agency,peace,2005,"Vienna, Austria",
peace_2005_798,Mohamed ElBaradei,peace,2005,"Vienna, Austria",associated with International Atomic Energy Association
peace_2006_809,Muhammad Yunus,peace,2006,"Jobra, Bangladesh","village of Jobra, near Chittagong University"
peace_2006_810,Grameen Bank,peace,2006,"Dhaka, Bangladesh",Yunus's bank
peace_2007_818,Intergovernmental Panel on Climate Change,peace,2007,"Geneva, Switzerland",The IPCC is hosted within the World Meteorological Organization (WMO) headquarters
peace_2007_819,Al Gore,peace,2007,"Nashville, Tennessee",
peace_2008_833,Martti Ahtisaari,peace,2008,"New York, NY, USA",
peace_2009_845,Barack Obama,peace,2009,"Washington, D.C., USA",
peace_2010_855,Xiaobo Liu,peace,2010,"Beijing, China",imprisoned there as well
peace_2011_869,Ellen Johnson Sirleaf,peace,2011,"Monrovia, Liberia",
peace_2011_870,Leymah Gbowee,peace,2011,"Monrovia, Liberia",
peace_2011_871,Tawakkol Karman,peace,2011,"Sana'a, Yemen",
peace_2012_881,European Union,peace,2012,"Brussels, Belgiium",
peace_2013_893,Organisation for the Prohibition of Chemical Weapons,peace,2013,"The Hague, Netherlands",
peace_2014_913,Kailash Satyarthi,peace,2014,"New Delhi, India",
peace_2014_914,Malala Yousafzai,peace,2014,"Swat, Pakistan","Birmingham, United Kingdom"
peace_2015_925,National Dialogue Quartet,peace,2015,"Tunis, Tunisia",
peace_2016_934,Juan Manuel Santos,peace,2016,"Bogotá, Colombia",
peace_2017_948,International Campaign to Abolish Nuclear Weapons,peace,2017,"Geneva, Switzerland",
peace_2018_966,Denis Mukwege,peace,2018,"Bukavu, Democratic Republic of Congo","Bukavu, in the Democratic Republic of Congo, where he founded and is a director at the Panzi Hospital"
peace_2018_967,Nadia Murad,peace,2018,"Baden-Württemberg, Germany",born in the village of Kocho in the Sinjar District of Iraq
peace_2019_981,Abiy Ahmed Ali,peace,2019,"Addis Ababa, Ethiopia","lived in Addis Ababa, the capital of Ethiopia, while doing the work that led to his Nobel Peace Prize, though he was born in Beshasha"
peace_2020_994,World Food Programme,peace,2020,"Rome, Italy",
peace_2021_1005,Maria Ressa,peace,2021,"Manila, Philippines",
peace_2021_1006,Dmitry Muratov,peace,2021,"Moscow, Russia",born in Samara (then Kuybyshev)
peace_2022_1018,Ales Bialiatski,peace,2022,"Minsk, Belarus",
peace_2022_1019,Memorial,peace,2022,"Moscow, Russia",
peace_2022_1020,Center for Civil Liberties,peace,2022,"Kyiv, Ukraine",
peace_2023_1033,Narges Mohammadi,peace,2023,"Tehran, Iran","Evin Prison in Tehran, Iran"
peace_2024_1043,Nihon Hidankyo,peace,2024,"Nagasaki, Japan",
peace_2025_1057,Maria Corina Machado,peace,2025,"Caracas, Venezuela",
economics_1974_684,Gunnar Myrdal,economics,1974,"Stockholm, Sweden","based at Stockholm University, he also frequently lectured in the U.S., held positions at institutions like the Center for Study of Democratic Institutions in Santa Barbara, and served as the executive secretary for the United Nations Economic Commission for Europe."
economics_1974_685,Friedrich von Hayek,economics,1974,"Freiburg, Germany",
